Category	Class	Country	Dates	Race
Men Elite	2.2 - Stages - Class 2	Sri Lanka	20 May - 22 May 2022	Sri Lanka T-Cup
Men Elite	1.2 - 1 day - Class 2	Denmark	21-May-22	Grand Prix Herning
Men Elite	1.1 - 1 day - Class 1	Netherlands	21-May-22	Veenendaal-Veenendaal Classic
Women Elite	1.2 - 1 day - Class 2	Turkey	21-May-22	Grand Prix Kayseri Ladys
Men Elite	1.1 - 1 day - Class 1	France	21-May-22	Tour du Finistère
Men Junior	2.Ncup - Stages - Class Nations' Cup	France	21 May - 22 May 2022	Trophée Centre Morbihan
Men Elite	1.1 - 1 day - Class 1	Germany	22-May-22	Rund um Köln
Men Elite	1.2 - 1 day - Class 2	Denmark	22-May-22	Fyn Rundt - Tour of Funen
Men Elite	1.1 - 1 day - Class 1	France	22-May-22	Boucles de l'Aulne - Châteaulin
Men Elite	1.2 - 1 day - Class 2	Turkey	22-May-22	Grand Prix Kayseri
Men Elite	1.2 - 1 day - Class 2	Slovenia	22-May-22	GP Gorenjska
Men Elite	2.Pro - Stages - ProSeries	Norway	24 May - 29 May 2022	Tour of Norway
Women Elite	2.Pro - Stages - ProSeries	Germany	24 May - 29 May 2022	Internationale LOTTO Thüringen Ladies Tour
Men Elite	2.2 - Stages - Class 2	Luxembourg	25 May - 29 May 2022	Flèche du Sud
Men Elite	2.2 - Stages - Class 2	France	25 May - 29 May 2022	Alpes Isère Tour
Men Elite	1.1 - 1 day - Class 1	Belgium	26-May-22	Circuit de Wallonie
Men Elite	2.1 - Stages - Class 1	Estonia	26 May - 28 May 2022	Tour of Estonia
Men Elite	2.2 - Stages - Class 2	France	26 May - 29 May 2022	Tour de la Mirabelle
Men Elite	2.Pro - Stages - ProSeries	France	26 May - 29 May 2022	Boucles de la Mayenne
Men Junior	2.Ncup - Stages - Class Nations' Cup	Switzerland	26 May - 29 May 2022	Tour du Pays de Vaud
Men Elite	CN - National Championships	Philippines	27 May - 29 May 2022	National Road Championships - Philippines
Men Elite	2.2 - Stages - Class 2	Japan	27 May - 29 May 2022	Tour de Kumano
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	United Kingdom	27 May - 29 May 2022	RideLondon Classique
Women Elite	1.2 - 1 day - Class 2	Turkey	28-May-22	Grand Prix Erciyes Ladys
Women Elite	1.2 - 1 day - Class 2	Estonia	28-May-22	Ladies Tour of Estonia
Men Elite	1.2 - 1 day - Class 2	Ukraine	28-May-22	Kyiv Cup
Women Elite	1.2 - 1 day - Class 2	Ukraine	28-May-22	Kyiv Cup
Men Under 23	2.Ncup - Stages - Class Nations' Cup	Poland	28 May - 29 May 2022	Orlen Nations Grand Prix
Men Junior	CN - National Championships	Belgium	29-May-22	National Road Championships - Belgium (IRR)
Men Elite	1.2 - 1 day - Class 2	Ukraine	29-May-22	Kyiv Green Race
Women Elite	1.2 - 1 day - Class 2	Ukraine	29-May-22	Kyiv Green Race
Men Elite	1.2 - 1 day - Class 2	Turkey	29-May-22	Grand Prix Erciyes
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	29-May-22	Coppa della Pace - Trofeo F.lli Anelli
Men Elite	1.1 - 1 day - Class 1	Belgium	29-May-22	Grote Prijs Marcel Kint
Men Elite	1.2 - 1 day - Class 2	Ukraine	30-May-22	Kyiv Speed - Challenge
Men Elite	CRTP - Pro Criterium	Italy	30-May-22	CYCLING STARS CRITERIUM BELLUNO
Men Elite	CRTP - Pro Criterium	Italy	31-May-22	CYCLING STARS CRITERIUM VALDOBBIADENE
Men Elite	1.1 - 1 day - Class 1	France	31-May-22	Mercan'Tour Classic Alpes-Maritimes
Men Elite	1.2 - 1 day - Class 2	Italy	2-Jun-22	TrofeoAlcide Degasperi
Men Elite	1.1 - 1 day - Class 1	Italy	2-Jun-22	Giro dell'Appennino
Women Elite	1.1 - 1 day - Class 1	Canada	2-Jun-22	Chrono Féminin de la Gatineau
Men Elite	2.2 - Stages - Class 2	France	02 Jun - 05 Jun 2022	Ronde de l'Oise
Men Under 23	2.Ncup - Stages - Class Nations' Cup	Czech Republic	02 Jun - 05 Jun 2022	Course de la Paix Grand Prix Jeseníky
Women Elite	1.1 - 1 day - Class 1	Canada	3-Jun-22	Tour de Gatineau
Women Elite	CRTP - Pro Criterium	Netherlands	3-Jun-22	RSM Wealer Ronde
Men Elite	2.2 - Stages - Class 2	Poland	03 Jun - 05 Jun 2022	Tour of Malopolska
Men Elite	2.2 - Stages - Class 2	Colombia	03 Jun - 12 Jun 2022	Vuelta a Colombia
Men Elite	1.1 - 1 day - Class 1	Belgium	4-Jun-22	Heylen Vastgoed Heistse Pijl
Men Junior	1.1 - 1 day - Class 1	France	4-Jun-22	La Classique des Alpes Juniors
Women Elite	1.2 - 1 day - Class 2	Netherlands	4-Jun-22	Salverda Omloop van de IJsseldelta
Women Elite	1.2 - 1 day - Class 2	Turkey	4-Jun-22	Grand Prix Velo Erciyes Ladys
Women Elite	2.2 - Stages - Class 2	Serbia	04 Jun - 05 Jun 2022	Belgrade GP Woman Tour
Men Elite	1.2 - 1 day - Class 2	Belgium	5-Jun-22	Memorial Philippe Van Coningsloo
Women Elite	1.1 - 1 day - Class 1	Belgium	5-Jun-22	Dwars door de Westhoek
Men Elite	1.2 - 1 day - Class 2	Turkey	5-Jun-22	Grand Prix Velo Erciyes
Men Junior	1.1 - 1 day - Class 1	Italy	5-Jun-22	Gran Premio dell'Arno
Men Elite	1.Pro - 1 day - ProSeries	Belgium	5-Jun-22	Brussels Cycling Classic
Women Elite	1.2 - 1 day - Class 2	France	5-Jun-22	Alpes Gresivaudan Classic
Men Elite	2.UWT - Stages - UCI WorldTour	France	05 Jun - 12 Jun 2022	Critérium du Dauphiné
Men Elite	1.2 - 1 day - Class 2	France	6-Jun-22	Paris - Troyes
Men Elite	1.1 - 1 day - Class 1	Belgium	6-Jun-22	Ronde van Limburg
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	United Kingdom	06 Jun - 11 Jun 2022	Women's Tour
Men Elite	2.2 - Stages - Class 2	Russia	08 Jun - 12 Jun 2022	Five Rings of Moscow
Women Elite	2.2 - Stages - Class 2	Guatemala	08 Jun - 12 Jun 2022	Vuelta Internacional Femenina a Guatemala
Men Elite	2.Pro - Stages - ProSeries	Netherlands	08 Jun - 12 Jun 2022	ZLM Tour
Men Junior	2.Ncup - Stages - Class Nations' Cup	Germany	09 Jun - 12 Jun 2022	LVM Saarland Trofeo
Men Elite	2.2 - Stages - Class 2	Austria	09 Jun - 12 Jun 2022	Oberösterreich Rundfahrt
Men Under 23	2.2U - Stages - Class 2 - U23	Italy	09 Jun - 18 Jun 2022	Giro d'Italia Giovani Under 23
Men Elite	1.1 - 1 day - Class 1	Switzerland	10-Jun-22	Grosser Preis des Kantons Aargau
Men Junior	CN - National Championships	Costa Rica	10 Jun - 12 Jun 2022	National Road Championships - Costa Rica (Juniors)
Men Elite	2.2 - Stages - Class 2	France	10 Jun - 12 Jun 2022	Tour d'Eure-et-Loir
Men Elite	1.Pro - 1 day - ProSeries	Belgium	11-Jun-22	Dwars door het Hageland
Men Under 23	CN - National Championships	Denmark	11 Jun - 12 Jun 2022	National Road Championships - Denmark (MU23)
Men Elite	1.1 - 1 day - Class 1	Belgium	12-Jun-22	Elfstedenronde Brugge
Women Elite	1.1 - 1 day - Class 1	Belgium	12-Jun-22	SPAR Flanders Diamond Tour
Men Elite	2.UWT - Stages - UCI WorldTour	Switzerland	12 Jun - 19 Jun 2022	Tour de Suisse
Men Elite	1.1 - 1 day - Class 1	France	14-Jun-22	Mont Ventoux Dénivelé Challenge
Women Elite	1.2 - 1 day - Class 2	France	14-Jun-22	MONT VENTOUX DENIVELE CHALLENGES
Men Elite	2.2 - Stages - Class 2	Canada	15 Jun - 19 Jun 2022	Tour de Beauce
Men Elite	2.Pro - Stages - ProSeries	Belgium	15 Jun - 19 Jun 2022	Baloise Belgium Tour
Men Elite	2.Pro - Stages - ProSeries	Slovenia	15 Jun - 19 Jun 2022	Tour of Slovenia
Men Elite	2.2 - Stages - Class 2	Serbia	16 Jun - 19 Jun 2022	Tour de Serbie
Men Elite	2.1 - Stages - Class 1	France	16 Jun - 19 Jun 2022	La Route d'Occitanie - La Dépêche du Midi
Women Elite	CN - National Championships	Costa Rica	16 Jun - 19 Jun 2022	National Road Championships - Costa Rica
Men Elite	CN - National Championships	Panama	17 Jun - 19 Jun 2022	National Road Championships - Panama
Men Under 23	2.2U - Stages - Class 2 - U23	France	17 Jun - 19 Jun 2022	Tour du Pays de Montbéliard
Men Elite	1.2 - 1 day - Class 2	Poland	18-Jun-22	Grand Prix Płock
Men Junior	1.1 - 1 day - Class 1	Italy	18-Jun-22	Gran Premio Eccellenze Valli del Soligo (Cronosquadre)
Women Elite	2.Pro - Stages - ProSeries	Switzerland	18 Jun - 21 Jun 2022	Tour de Suisse Women
Men Elite	CN - National Championships	Israel	18 Jun - 25 Jun 2022	National Road Championships - Israel
Men Under 23	CN - National Championships	Estonia	18 Jun - 26 Jun 2022	National Road Championships - Estonia
Men Under 23	CN - National Championships	Latvia	18 Jun - 26 Jun 2022	National Road Championships - Latvia
Men Elite	1.2 - 1 day - Class 2	Netherlands	19-Jun-22	Midden-Brabant Poort Omloop
Men Junior	1.1 - 1 day - Class 1	Italy	19-Jun-22	TF GD Dorigo MO Biemmereti MO Ettore e Cristiano Floriani MO Emilio Mazzero
Men Elite	1.2 - 1 day - Class 2	Poland	19-Jun-22	Grand Prix Płońsk
Men Junior	CN - National Championships	Norway	19 Jun - 26 Jun 2022	National Road Championships - Norway
Men Elite	CN - National Championships	El Salvador	19 Jun - 26 Jun 2022	National Road Championships - El Salvador
Men Elite	CN - National Championships	Lebanon	19 Jun - 26 Jun 2022	National Road Championships - Lebanon
Men Under 23	CN - National Championships	Lithuania	20 Jun - 26 Jun 2022	National Road Championships - Lithuania
Men Junior	CN - National Championships	Spain	21 Jun - 26 Jun 2022	National Road Championships - Spain
Men Junior	CN - National Championships	Ukraine	21 Jun - 26 Jun 2022	National Road Championships - Ukraine
Men Elite	CN - National Championships	Iran	21 Jun - 27 Jun 2022	National Road Championships - Iran
Men Elite	1.1 - 1 day - Class 1	Belgium	22-Jun-22	Halle-Ingooigem
Women Under 23	CN - National Championships	Azerbaijan	22 Jun - 25 Jun 2022	National Road Championships - Azerbaijan
Men Elite	CN - National Championships	Kazakhstan	22 Jun - 26 Jun 2022	National Road Championships - Kazakhstan
Men Elite	CN - National Championships	Japan	22 Jun - 26 Jun 2022	National Road Championships - Japan
Men Elite	CN - National Championships	Hungary	22 Jun - 26 Jun 2022	National Road Championships - Hungary
Men Junior	CN - National Championships	Italy	22 Jun - 26 Jun 2022	National Road Championships - Italy
Men Elite	CN - National Championships	Czech Republic	23 Jun - 26 Jun 2022	National Road Championships - Czech Republic
Men Elite	CN - National Championships	Slovakia	23 Jun - 26 Jun 2022	National Road Championships - Slovakia
Men Elite	CN - National Championships	Belarus	23 Jun - 26 Jun 2022	National Road Championships - Belarus
Men Elite	CN - National Championships	Canada	23 Jun - 26 Jun 2022	National Road Championships - Canada
Men Elite	CN - National Championships	Ireland	23 Jun - 26 Jun 2022	National Road Championships - Ireland
Men Elite	CN - National Championships	Denmark	23 Jun - 26 Jun 2022	National Road Championships - Denmark
Men Elite	CN - National Championships	France	23 Jun - 26 Jun 2022	National Road Championships - France
Men Elite	CN - National Championships	Belgium	23 Jun - 26 Jun 2022	National Road Championships - Belgium
Men Elite	CN - National Championships	Greece	24 Jun - 26 Jun 2022	National Road Championships - Greece
Men Elite	CN - National Championships	Macedonia, FYRO	24 Jun - 26 Jun 2022	National Road Championships - Macedonia
Men Elite	CN - National Championships	Luxembourg	24 Jun - 26 Jun 2022	National Road Championships - Luxembourg
Men Elite	CN - National Championships	Croatia	24 Jun - 26 Jun 2022	National Road Championships - Croatia
Men Elite	CN - National Championships	Germany	24 Jun - 26 Jun 2022	National Road Championships - Germany
Men Elite	CN - National Championships	Guatemala	24 Jun - 26 Jun 2022	National Road Championships - Guatemala
Men Elite	CN - National Championships	Eritrea	24 Jun - 26 Jun 2022	National Road Championships - Eritrea
Men Elite	CN - National Championships	Austria	24 Jun - 26 Jun 2022	National Road Championships - Austria
Men Elite	CN - National Championships	Eritrea	24 Jun - 26 Jun 2022	National Road Championships - Thailand
Men Junior	2.1 - Stages - Class 1	Netherlands	24 Jun - 26 Jun 2022	BESTRONICS Acht van Bladel
Men Elite	CN - National Championships	Mali	25-Jun-22	National Road Championships - Mali
Men Elite	CN - National Championships	Grenada	25 Jun - 26 Jun 2022	National Road Championships - Grenada
Men Elite	CN - National Championships	Puerto Rico	25 Jun - 26 Jun 2022	National Road Championships - Puerto Rico
Men Elite	CN - National Championships	Antigua and Barbuda	25 Jun - 26 Jun 2022	National Road Championships - Antigua and Barbuda
Men Elite	CN - National Championships	Aruba	25 Jun - 26 Jun 2022	National Road Championships - Aruba
Men Elite	CN - National Championships	Barbados	25 Jun - 26 Jun 2022	National Road Championships - Barbados
Men Elite	CN - National Championships	Malaysia	25 Jun - 26 Jun 2022	National Road Championships - Malaysia
Men Elite	CN - National Championships	Georgia	25 Jun - 26 Jun 2022	National Road Championships - Georgia
Men Elite	CN - National Championships	Bulgaria	25 Jun - 26 Jun 2022	National Road Championships - Bulgaria
Men Elite	CN - National Championships	Côte d’Ivoire	26-Jun-22	National Road Championships - Ivory Coast
Men Elite	CN - National Championships	Swaziland	26-Jun-22	National Road Championships - Eswatini
Women Elite	2.1 - Stages - Class 1	Belgium	28 Jun - 01 Jul 2022	Lotto Belgium Tour
Men Elite	2.2 - Stages - Class 2	Poland	29 Jun - 02 Jul 2022	Course Cycliste de Solidarnosc et des Champions Olympiques
Women Elite	2.2 - Stages - Class 2	Czech Republic	30 Jun - 03 Jul 2022	Tour de Feminin
Men Elite	2.2 - Stages - Class 2	Portugal	30 Jun - 03 Jul 2022	GP Internacional Torres Vedras - Trofeu Joaquim Agostinho
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	Italy	01 Jul - 10 Jul 2022	Giro d'Italia Donne
Men Elite	2.UWT - Stages - UCI WorldTour	France	01 Jul - 24 Jul 2022	Tour de France
Men Junior	1.1 - 1 day - Class 1	Luxembourg	2-Jul-22	GP Général Patton
Men Junior	2.1 - Stages - Class 1	Serbia	02 Jul - 03 Jul 2022	Olympic Hopes - Belgrade Trophy Milan Panić
Men Elite	2.1 - Stages - Class 1	Romania	02 Jul - 06 Jul 2022	Sibiu Cycling Tour
Men Elite	2.1 - Stages - Class 1	Austria	02 Jul - 07 Jul 2022	Int. Österreich-Rundfahrt - Tour of Austria
Men Junior	1.1 - 1 day - Class 1	Luxembourg	3-Jul-22	GP Luxembourg
Men Elite	1.2 - 1 day - Class 2	Belgium	3-Jul-22	Grote Prijs Rik Van Looy
Men Elite	1.2 - 1 day - Class 2	Italy	3-Jul-22	Giro del Medio Brenta
Men Under 23	CN - National Championships	Luxembourg	3-Jul-22	National Road Championships - Luxembourg (U23)
Men Elite	CN - National Championships	Singapore	3-Jul-22	National Road Championships - Singapore (ITT)
Men Junior	CN - National Championships	Italy	3-Jul-22	National Road Championships - Italy (MJ - IRR)
Men Elite	1.2 - 1 day - Class 2	Italy	5-Jul-22	Trofeo Città di Brescia
Men Junior	2.1 - Stages - Class 1	Belgium	07 Jul - 10 Jul 2022	Sint Martinusprijs Kontich
Men Elite	1.2 - 1 day - Class 2	United States	8-Jul-22	Chrono Kristin Armstrong
Women Elite	1.2 - 1 day - Class 2	United States	8-Jul-22	Chrono Kristin Armstrong
Men Junior	1.1 - 1 day - Class 1	United States	8-Jul-22	Chrono Kristin Armstrong
Women Junior	1.1 - 1 day - Class 1	United States	8-Jul-22	Chrono Kristin Armstrong
Men Elite	1.2 - 1 day - Class 2	Czech Republic	9-Jul-22	Visegrad 4 Bicycle Race - GP Czech Republic
Women Elite	1.1 - 1 day - Class 1	Belgium	10-Jul-22	Districtenpijl - Ekeren-Deurne
Men Junior	1.1 - 1 day - Class 1	Belgium	10-Jul-22	Menen Kemmel Menen
Men Elite	1.2 - 1 day - Class 2	Belgium	10-Jul-22	Districtenpijl - Ekeren-Deurne
Men Elite	1.1 - 1 day - Class 1	Switzerland	10-Jul-22	Axion SWISS Bank Gran Premio Città di Lugano
Men Elite	1.2 - 1 day - Class 2	Canada	10-Jul-22	Delta Road Race
Men Elite	1.2 - 1 day - Class 2	Poland	10-Jul-22	Visegrad 4 Bicycle Race Grand Prix Poland
Men Elite	1.2 - 1 day - Class 2	France	10-Jul-22	Grand Prix International de la ville de Nogent-sur-Oise
Men Elite	2.Pro - Stages - ProSeries	China	10 Jul - 17 Jul 2022	Tour of Qinghai Lake
Men Junior	2.Ncup - Stages - Class Nations' Cup	Canada	12 Jul - 17 Jul 2022	Tour de l'Abitibi
Men Under 23	2.2U - Stages - Class 2 - U23	Italy	12 Jul - 17 Jul 2022	Giro Ciclistico della Valle d'Aosta - Mont Blanc
Men Elite	2.1 - Stages - Class 1	Italy	13 Jul - 17 Jul 2022	Settimana Ciclistica Italiana
Men Junior	2.1 - Stages - Class 1	France	13 Jul - 17 Jul 2022	Ain Bugey Valromey Tour
Women Elite	2.1 - Stages - Class 1	Belgium	13 Jul - 17 Jul 2022	Baloise Ladies Tour
Women Elite	2.2 - Stages - Class 2	Costa Rica	14 Jul - 17 Jul 2022	Vuelta Internacional Femenina a Costa Rica
Men Junior	2.1 - Stages - Class 1	Slovakia	15 Jul - 17 Jul 2022	Medzinárodné dni cyklistiky Dubnica nad Váhom
Men Elite	1.1 - 1 day - Class 1	Netherlands	16-Jul-22	Slag om Norg
Men Elite	1.2 - 1 day - Class 2	Turkey	16-Jul-22	Grand Prix Germenica
Men Elite	CN - National Championships	Singapore	17-Jul-22	National Road Championships - Singapore (IRR)
Men Elite	1.2 - 1 day - Class 2	Turkey	17-Jul-22	Grand Prix Kahramanmaras
Men Elite	1.1 - 1 day - Class 1	Belgium	18-Jul-22	Grand Prix Cerami
Men Junior	2.1 - Stages - Class 1	Austria	22 Jul - 24 Jul 2022	Junioren Rundfahrt
Women Elite	1.2 - 1 day - Class 2	Slovakia	23-Jul-22	GP SLOVAKIA
Men Elite	1.2 - 1 day - Class 2	Hungary	23-Jul-22	Visegrad 4 Kerekparverseny
Women Elite	1.2 - 1 day - Class 2	Hungary	24-Jul-22	Visegrad 4 Ladies Series - Hungary
Men Elite	1.2 - 1 day - Class 2	Slovenia	24-Jul-22	GP Kranj
Men Elite	1.2 - 1 day - Class 2	Slovakia	24-Jul-22	Visegrad 4 Bicycle Race - GP Slovakia
Men Elite	1.2 - 1 day - Class 2	France	24-Jul-22	Grand Prix de la ville de Pérenchies
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	France	24 Jul - 31 Jul 2022	Tour de France Femmes avec Zwift
Men Elite	1.1 - 1 day - Class 1	Spain	25-Jul-22	Prueba Villafranca - Ordiziako Klasika
Men Elite	CN - National Championships	Angola	25 Jul - 26 Jul 2022	National Road Championships - Angola
Men Elite	2.Pro - Stages - ProSeries	United States	25 Jul - 31 Jul 2022	The Larry H.Miller Tour of Utah
Men Elite	CRTP - Pro Criterium	France	26-Jul-22	Criterium d'après Tour de France
Men Elite	2.2 - Stages - Class 2	Poland	26 Jul - 30 Jul 2022	Dookoła Mazowsza
Men Junior	1.1 - 1 day - Class 1	Belgium	27-Jul-22	Trofee van Vlaanderen
Men Elite	CRTP - Pro Criterium	France	27-Jul-22	Ronde des Korrigans
Men Elite	2.1 - Stages - Class 1	Spain	27 Jul - 28 Jul 2022	Vuelta a Castilla y Leon
Men Elite	2.2 - Stages - Class 2	France	27 Jul - 31 Jul 2022	Tour d'ALSACE
Men Elite	2.2 - Stages - Class 2	Venezuela	27 Jul - 31 Jul 2022	Vuelta Ciclista a Miranda
Men Elite	CRTP - Pro Criterium	Netherlands	28-Jul-22	Profronde Westland
Women Elite	2.2 - Stages - Class 2	Poland	29 Jul - 31 Jul 2022	Anna Vasa Race
Men Junior	2.Ncup - Stages - Class Nations' Cup	Netherlands	29 Jul - 31 Jul 2022	Watersley Junior Challenge
Men Elite	2.2 - Stages - Class 2	France	29 Jul - 01 Aug 2022	Kreiz Breizh Elites
Women Elite	1.2 - 1 day - Class 2	Sweden	30-Jul-22	Hansa Bygg Grand Prix Kalmar
Men Elite	CRTP - Pro Criterium	France	30-Jul-22	Criterium Cycliste International du Grand Dole Colruyt
Men Elite	1.UWT - 1 day - UCI WorldTour	Spain	30-Jul-22	Donostia San Sebastian Klasikoa
Men Elite	2.UWT - Stages - UCI WorldTour	Poland	30 Jul - 05 Aug 2022	Tour de Pologne
Men Elite	CRTP - Pro Criterium	France	31-Jul-22	Ronde d'Aix
Men Elite	CRTP - Pro Criterium	France	31-Jul-22	CRITO'STAR
Men Elite	1.1 - 1 day - Class 1	Spain	31-Jul-22	Circuito de Getxo - Memorial Hermanos Otxoa
Men Elite	1.2 - 1 day - Class 2	Poland	31-Jul-22	Puchar MON
Women Elite	1.2 - 1 day - Class 2	Turkey	31-Jul-22	Grand Prix Yahyalı
Men Elite	CRTP - Pro Criterium	France	2-Aug-22	Critérium Cycliste International de Castillon-la-Bataille
Women Elite	2.2 - Stages - Class 2	Sweden	02 Aug - 04 Aug 2022	Tour of Uppsala
Men Elite	2.Pro - Stages - ProSeries	Spain	02 Aug - 06 Aug 2022	Vuelta a Burgos
Men Elite	2.2 - Stages - Class 2	France	03 Aug - 06 Aug 2022	Le Tour de Savoie Mont Blanc
Men Junior	CN - National Championships	France	03 Aug - 07 Aug 2022	National Road Championships - France
Men Elite	2.2 - Stages - Class 2	Turkey	04 Aug - 07 Aug 2022	Tour of Sakarya
Men Elite	2.Pro - Stages - ProSeries	Norway	04 Aug - 07 Aug 2022	Arctic Race of Norway
Men Elite	2.1 - Stages - Class 1	Czech Republic	04 Aug - 07 Aug 2022	Sazka Tour
Men Elite	2.1 - Stages - Class 1	Portugal	04 Aug - 15 Aug 2022	Volta a Portugal em Bicicleta
Men Junior	2.1 - Stages - Class 1	Belgium	05 Aug - 07 Aug 2022	Aubel-Thimister-Stavelot
Women Elite	2.2 - Stages - Class 2	France	05 Aug - 07 Aug 2022	CIC-Tour Féminin International des Pyrénées
Men Elite	2.2 - Stages - Class 2	France	05 Aug - 14 Aug 2022	Tour Cycliste International de la Guadeloupe
Men Elite	CRTP - Pro Criterium	France	6-Aug-22	Criterium Cycliste Professionnel Dun Le Palestel
Men Elite	1.2 - 1 day - Class 2	Sweden	6-Aug-22	Scandinavian Race in Uppsala 1909-2022
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Sweden	6-Aug-22	Postnord Vårgårda WestSweden TTT
Men Junior	2.1 - Stages - Class 1	Serbia	06 Aug - 07 Aug 2022	Belgrade Trophy
Men Elite	CRTP - Pro Criterium	Netherlands	7-Aug-22	Wielerweekend Moerdijk
Women Elite	CRTP - Pro Criterium	Netherlands	7-Aug-22	Wielerweekend Moerdijk
Men Elite	CRTP - Pro Criterium	France	7-Aug-22	Criterium Cycliste International Vayrac
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	Sweden	7-Aug-22	Postnord Vårgårda WestSweden RR
Men Elite	2.1 - Stages - Class 1	France	09 Aug - 11 Aug 2022	Tour de l'Ain
Women Elite	2.2 - Stages - Class 2	Colombia	09 Aug - 14 Aug 2022	Vuelta a Colombia Femenina
Women Elite	2.WWT - Stages - UCI Women’s WorldTour	Norway	09 Aug - 14 Aug 2022	Battle of the North
Men Elite	2.2 - Stages - Class 2	Romania	10 Aug - 13 Aug 2022	Tour of Szeklerland
Women Elite	1.2 - 1 day - Class 2	France	13-Aug-22	La Périgord Ladies
Men Junior	2.1 - Stages - Class 1	France	13 Aug - 14 Aug 2022	La Ronde Des Vallées
Men Elite	1.1 - 1 day - Class 1	France	14-Aug-22	La Polynormande
Women Elite	1.2 - 1 day - Class 2	France	14-Aug-22	La Picto - Charentaise
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	14-Aug-22	Gran Premio Sportivi di Poggiana - Trofeo Bonin Costruzioni
Men Elite	CRTP - Pro Criterium	France	14-Aug-22	Criterium Cycliste International de Quillan
Men Under 23	1.2U - 1 day - Class 2 - U23	Italy	16-Aug-22	Gp Capodarco Comunita Di Capodarco
Men Elite	CRTP - Pro Criterium	Netherlands	16-Aug-22	Valstar Wielerspektakel Naaldwijk
Men Elite	2.1 - Stages - Class 1	France	16 Aug - 19 Aug 2022	Tour du Limousin - Nouvelle Aquitaine
Men Elite	2.Pro - Stages - ProSeries	Denmark	16 Aug - 20 Aug 2022	PostNord Danmark Rundt - Tour of Denmark
Men Junior	2.1 - Stages - Class 1	Spain	18 Aug - 21 Aug 2022	Vuelta Junior a la Ribera del Duero
Men Elite	2.2 - Stages - Class 2	Estonia	18 Aug - 21 Aug 2022	Baltic Chain Tour
Men Under 23	2.Ncup - Stages - Class Nations' Cup	France	18 Aug - 28 Aug 2022	Tour de l'Avenir
Men Elite	1.2 - 1 day - Class 2	Turkey	19-Aug-22	Grand Prix Kapuzbaşı
Men Junior	2.Ncup - Stages - Class Nations' Cup	Hungary	19 Aug - 21 Aug 2022	One Belt One Road Nation's Cup Hungary
Men Elite	2.UWT - Stages - UCI WorldTour	Spain	19 Aug - 11 Sep 2022	La Vuelta ciclista a España
Men Elite	CN - National Championships	Albania	20 Aug - 22 Aug 2022	National Road Championships - Albania
Men Elite	2.2 - Stages - Class 2	China	20 Aug - 24 Aug 2022	Trans-Himalaya Cycling Race
Men Elite	1.1 - 1 day - Class 1	Belgium	21-Aug-22	Schaal Sels Merksem/ Johan Museeuw Classic
Women Elite	1.1 - 1 day - Class 1	Belgium	21-Aug-22	MerXem Classic
Men Elite	1.2 - 1 day - Class 2	Turkey	21-Aug-22	Grand Prix Cappadocia
Men Elite	1.2 - 1 day - Class 2	Poland	21-Aug-22	Memorial Henryka Łasaka
Men Elite	1.UWT - 1 day - UCI WorldTour	Germany	21-Aug-22	BEMER Cyclassics
Men Elite	1.2 - 1 day - Class 2	Poland	22-Aug-22	Puchar Uzdrowisk Karpackich
Men Elite	1.2 - 1 day - Class 2	Turkey	23-Aug-22	Grand Prix Develi
Men Elite	1.1 - 1 day - Class 1	Belgium	23-Aug-22	Egmont Cycling Race
Men Elite	2.1 - Stages - Class 1	France	23 Aug - 26 Aug 2022	Tour Poitou - Charentes en Nouvelle Aquitaine
Men Elite	1.1 - 1 day - Class 1	Belgium	24-Aug-22	Druivenkoers - Overijse
Men Elite	2.Pro - Stages - ProSeries	Germany	24 Aug - 28 Aug 2022	Deutschland Tour
Women Elite	1.1 - 1 day - Class 1	France	25-Aug-22	Kreiz Breizh Elites Féminin
Men Elite	CRTP - Pro Criterium	France	26-Aug-22	Prix Jean Renaux
Women Elite	2.2 - Stages - Class 2	Italy	26 Aug - 28 Aug 2022	Premondiale Giro Toscana Int. Femminile - Memorial Michela Fanini
Men Junior	2.Ncup - Stages - Class Nations' Cup	Korea	26 Aug - 30 Aug 2022	Tour de DMZ
Men Junior	1.1 - 1 day - Class 1	Italy	27-Aug-22	Trofeo Comune di Vertova - Memorial Pietro Merelli
Men Elite	1.2 - 1 day - Class 2	Denmark	27-Aug-22	GP Himmerland Rundt
Women Elite	1.WWT - 1 day - UCI Women’s WorldTour	France	27-Aug-22	GP Lorient Agglomération - Trophée CERATIZIT
Women Junior	2.Ncup - Stages - Class Nations' Cup	Spain	27 Aug - 28 Aug 2022	Bizkaikoloreak 
Men Elite	2.1 - Stages - Class 1	Kazakhstan	27 Aug - 28 Aug 2022	Tour of Almaty
Men Elite	2.2 - Stages - Class 2	Bulgaria	27 Aug - 01 Sep 2022	Tour of Bulgaria
