Category	Class	Country	Dates	Race
Women Elite	1.2 - 1 day - Class 2	Turkey	20-Feb-22	Grand Prix Justiniano Race
Men Elite	1.2 - 1 day - Class 2	Turkey	20-Feb-22	Grand Prix Justiniano Race
Men Elite	2.UWT - Stages - UCI WorldTour	United Arab Emirates	20 Feb - 26 Feb 2022	UAE Tour
Men Elite	2.1 - Stages - Class 1	Rwanda	20 Feb - 27 Feb 2022	Tour du Rwanda
Men Elite	2.1 - Stages - Class 1	Spain	24 Feb - 27 Feb 2022	Gran Camiño
Men Elite	2.2 - Stages - Class 2	South Africa	25 Feb - 27 Feb 2022	Tour of Limpopo
Men Elite	1.UWT - 1 day - UCI WorldTour	Belgium	26-Feb-22	Omloop Het Nieuwsblad Elite
Men Elite	1.Pro - 1 day - ProSeries	France	26-Feb-22	Faun-Ardèche Classic
Women Elite	1.Pro - 1 day - ProSeries	Belgium	26-Feb-22	Omloop Het Nieuwsblad-vrouwen elite / Circuit Het Nieuwsblad-Femmes Elite
Women Elite	1.1 - 1 day - Class 1	Belgium	27-Feb-22	Craywinckelhof - Omloop van het Hageland
Men Junior	1.1 - 1 day - Class 1	Belgium	27-Feb-22	Kuurne - Brussel - Kuurne Juniors
Men Elite	1.Pro - 1 day - ProSeries	Belgium	27-Feb-22	Kuurne - Bruxelles - Kuurne
Men Elite	1.Pro - 1 day - ProSeries	France	27-Feb-22	Drome Classic
Women Elite	1.1 - 1 day - Class 1	Belgium	1-Mar-22	Le Samyn des Dames
Men Elite	1.1 - 1 day - Class 1	Belgium	1-Mar-22	Le Samyn
Men Elite	1.2 - 1 day - Class 2	Croatia	2-Mar-22	Trofej Umag - Umag Trophy
Men Elite	1.Pro - 1 day - ProSeries	Italy	2-Mar-22	Trofeo Laigueglia
Men Junior	2.1 - Stages - Class 1	Turkey	3-Mar-22	Manavgat Side Junior (ITT)
Men Junior	2.1 - Stages - Class 1	Turkey	4-Mar-22	Manavgat Side Junior (IRR)
Men Elite	1.2 - 1 day - Class 2	Kuwait	4-Mar-22	Liberation of Kuwait 1
Men Elite	CN - National Championships	United Arab Emirates	04 Mar - 05 Mar 2022	National Road Championships - United Arab Emirates (ITT)
Women Elite	2.1 - Stages - Class 1	Netherlands	04 Mar - 06 Mar 2022	Bloeizone Fryslan
