Date,Rank,Points,Rider,Team,Year,Race,UCI Class,Type,Code,Series,Race days,UCI Category,Classification
26-Jan-20,38,10,BARDET Romain,AG2R Citroen Team,2020,Santos Tour Down Under,2.UWT,Stage Race,Tier 3 GC,WorldTour,6,Tier 3,GC
23-Feb-20,2,85,BARDET Romain,AG2R Citroen Team,2020,Tour des Alpes Maritimes et du Var,2.1,Stage Race,C1 GC,Other,3,2.1,GC
1-Mar-20,13,20,BARDET Romain,AG2R Citroen Team,2020,Royal Bernard Drome Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
15-Mar-20,19,30,BARDET Romain,AG2R Citroen Team,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
4-Aug-20,8,30,BARDET Romain,AG2R Citroen Team,2020,La Route d'Occitanie - La Dépêche du Midi,2.1,Stage Race,C1 GC,Other,4,2.1,GC
16-Aug-20,6,175,BARDET Romain,AG2R Citroen Team,2020,Critérium du Dauphiné,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
23-Aug-20,10,3,BARDET Romain,AG2R Citroen Team,2020,Championnats Nationaux Route - France (ME-WE),CN,Championships,CN ME RR,Other,1,CN,ME RR
7-Oct-20,27,5,BARDET Romain,AG2R Citroen Team,2020,De Brabantse Pijl - La Flèche Brabançonne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
11-Oct-20,7,60,BARDET Romain,AG2R Citroen Team,2020,Paris - Tours Elite,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
18-Oct-20,25,20,BARDET Romain,AG2R Citroen Team,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
2-Feb-20,1,125,COSNEFROY Benoit,AG2R Citroen Team,2020,Grand Prix Cycliste la Marseillaise,1.1,One Day,C1 GC,Other,1,1.1,GC
5-Feb-20,2,5,COSNEFROY Benoit,AG2R Citroen Team,2020,Etoile de Bessèges,2.1,Stage Race,C1 SC,Other,,2.1,SC
8-Feb-20,1,3,COSNEFROY Benoit,AG2R Citroen Team,2020,Etoile de Bessèges,2.1,Stage Race,C1 SGC,Other,,2.1,SGC
9-Feb-20,1,125,COSNEFROY Benoit,AG2R Citroen Team,2020,Etoile de Bessèges,2.1,Stage Race,C1 GC,Other,5,2.1,GC
23-Feb-20,18,3,COSNEFROY Benoit,AG2R Citroen Team,2020,Tour des Alpes Maritimes et du Var,2.1,Stage Race,C1 GC,Other,3,2.1,GC
29-Feb-20,39,3,COSNEFROY Benoit,AG2R Citroen Team,2020,Faun-Ardèche Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
1-Mar-20,5,85,COSNEFROY Benoit,AG2R Citroen Team,2020,Royal Bernard Drome Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
4-Aug-20,1,14,COSNEFROY Benoit,AG2R Citroen Team,2020,La Route d'Occitanie - La Dépêche du Midi,2.1,Stage Race,C1 SC,Other,,2.1,SC
26-Aug-20,10,50,COSNEFROY Benoit,AG2R Citroen Team,2020,UEC Road European Championships,CC,Championships,CC ME RR,Other,1,CC,ME RR
30-Sep-20,2,320,COSNEFROY Benoit,AG2R Citroen Team,2020,La Flèche Wallonne,2.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
4-Oct-20,18,30,COSNEFROY Benoit,AG2R Citroen Team,2020,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
7-Oct-20,3,125,COSNEFROY Benoit,AG2R Citroen Team,2020,De Brabantse Pijl - La Flèche Brabançonne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
11-Oct-20,2,150,COSNEFROY Benoit,AG2R Citroen Team,2020,Paris - Tours Elite,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
16-Feb-20,21,5,DILLIER Silvan,AG2R Citroen Team,2020,Clasica de Almeria,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
23-Feb-20,18,5,DILLIER Silvan,AG2R Citroen Team,2020,Vuelta a Andalucia Ruta Ciclista Del Sol,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
29-Feb-20,17,20,DILLIER Silvan,AG2R Citroen Team,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
1-Mar-20,30,5,DILLIER Silvan,AG2R Citroen Team,2020,Kuurne-Bruxelles-Kuurne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
12-Jul-20,2,30,DILLIER Silvan,AG2R Citroen Team,2020,National Road Championships - Switzerland (ITT),CN,Championships,CN ME ITT,Other,1,CN,ME ITT
19-Aug-20,37,3,DILLIER Silvan,AG2R Citroen Team,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
30-Aug-20,10,20,DILLIER Silvan,AG2R Citroen Team,2020,Tour Poitou-Charentes en Nouvelle Aquitaine,2.1,Stage Race,C1 GC,Other,5,2.1,GC
3-Oct-20,26,16,DILLIER Silvan,AG2R Citroen Team,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
11-Oct-20,22,20,DILLIER Silvan,AG2R Citroen Team,2020,Gent-Wevelgem in Flanders Fields,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
16-Feb-20,34,3,GODON Dorian,AG2R Citroen Team,2020,Trofeo Laigueglia,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
3-Mar-20,18,3,GODON Dorian,AG2R Citroen Team,2020,Le Samyn,1.1,One Day,C1 GC,Other,1,1.1,GC
25-Aug-20,26,16,GODON Dorian,AG2R Citroen Team,2020,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
30-Aug-20,14,5,GODON Dorian,AG2R Citroen Team,2020,Tour Poitou-Charentes en Nouvelle Aquitaine,2.1,Stage Race,C1 GC,Other,5,2.1,GC
22-Sep-20,1,125,GODON Dorian,AG2R Citroen Team,2020,Paris-Camembert,1.1,One Day,C1 GC,Other,1,1.1,GC
4-Oct-20,56,3,GODON Dorian,AG2R Citroen Team,2020,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
7-Oct-20,17,5,GODON Dorian,AG2R Citroen Team,2020,De Brabantse Pijl - La Flèche Brabançonne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
8-Nov-20,38,20,GODON Dorian,AG2R Citroen Team,2020,La Vuelta ciclista a España,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
16-Feb-20,31,3,NAESEN Lawrence,AG2R Citroen Team,2020,Clasica de Almeria,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
5-Aug-20,12,25,NAESEN Lawrence,AG2R Citroen Team,2020,Milano-Torino,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
19-Aug-20,24,5,NAESEN Lawrence,AG2R Citroen Team,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
30-Aug-20,7,60,NAESEN Lawrence,AG2R Citroen Team,2020,Brussels Cycling Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
3-Oct-20,17,24,NAESEN Lawrence,AG2R Citroen Team,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
11-Oct-20,34,10,NAESEN Lawrence,AG2R Citroen Team,2020,Gent-Wevelgem in Flanders Fields,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
18-Oct-20,35,10,NAESEN Lawrence,AG2R Citroen Team,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
16-Feb-20,33,3,NAESEN Oliver,AG2R Citroen Team,2020,Clasica de Almeria,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
23-Feb-20,32,3,NAESEN Oliver,AG2R Citroen Team,2020,Vuelta a Andalucia Ruta Ciclista Del Sol,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
29-Feb-20,7,95,NAESEN Oliver,AG2R Citroen Team,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
1-Mar-20,23,5,NAESEN Oliver,AG2R Citroen Team,2020,Kuurne-Bruxelles-Kuurne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
5-Aug-20,15,10,NAESEN Oliver,AG2R Citroen Team,2020,Milano-Torino,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
8-Aug-20,14,40,NAESEN Oliver,AG2R Citroen Team,2020,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
19-Aug-20,10,35,NAESEN Oliver,AG2R Citroen Team,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
26-Aug-20,20,5,NAESEN Oliver,AG2R Citroen Team,2020,UEC Road European Championships,CC,Championships,CC ME RR,Other,1,CC,ME RR
18-Sep-20,5,5,NAESEN Oliver,AG2R Citroen Team,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
3-Oct-20,2,20,NAESEN Oliver,AG2R Citroen Team,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 SC,WorldTour,,Tier 4,SC
11-Oct-20,14,40,NAESEN Oliver,AG2R Citroen Team,2020,Gent-Wevelgem in Flanders Fields,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
18-Oct-20,7,150,NAESEN Oliver,AG2R Citroen Team,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
9-Feb-20,6,40,PARET PEINTRE Aurélien,AG2R Citroen Team,2020,Etoile de Bessèges,2.1,Stage Race,C1 GC,Other,5,2.1,GC
16-Feb-20,11,30,PARET PEINTRE Aurélien,AG2R Citroen Team,2020,Tour de la Provence,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
29-Feb-20,16,5,PARET PEINTRE Aurélien,AG2R Citroen Team,2020,Faun-Ardèche Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
15-Mar-20,21,20,PARET PEINTRE Aurélien,AG2R Citroen Team,2020,Paris-Nice,2.UWT,Stage Race,Tier 3 GC,WorldTour,8,Tier 3,GC
6-Sep-20,3,70,PARET PEINTRE Aurélien,AG2R Citroen Team,2020,Tour du Doubs,1.1,One Day,C1 GC,Other,1,1.1,GC
19-Sep-20,10,35,PARET PEINTRE Aurélien,AG2R Citroen Team,2020,Skoda-Tour de Luxembourg,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
25-Oct-20,16,56,PARET PEINTRE Aurélien,AG2R Citroen Team,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
23-Feb-20,2,5,PETERS Nans,AG2R Citroen Team,2020,Tour des Alpes Maritimes et du Var,2.1,Stage Race,C1 SC,Other,,2.1,SC
29-Feb-20,9,40,PETERS Nans,AG2R Citroen Team,2020,Faun-Ardèche Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
5-Sep-20,1,120,PETERS Nans,AG2R Citroen Team,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
27-Oct-20,4,12,PETERS Nans,AG2R Citroen Team,2020,La Vuelta ciclista a España,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
8-Nov-20,36,20,PETERS Nans,AG2R Citroen Team,2020,La Vuelta ciclista a España,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
26-Jan-20,36,10,VENDRAME Andrea,AG2R Citroen Team,2020,Santos Tour Down Under,2.UWT,Stage Race,Tier 3 GC,WorldTour,6,Tier 3,GC
30-Jan-20,8,30,VENDRAME Andrea,AG2R Citroen Team,2020,Race Torquay,1.1,One Day,C1 GC,Other,1,1.1,GC
2-Feb-20,19,20,VENDRAME Andrea,AG2R Citroen Team,2020,Cadel Evans Great Ocean Road Race,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
16-Feb-20,4,100,VENDRAME Andrea,AG2R Citroen Team,2020,Trofeo Laigueglia,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
29-Feb-20,54,2,VENDRAME Andrea,AG2R Citroen Team,2020,UAE Tour,2.UWT,Stage Race,Tier 5 GC,WorldTour,7,Tier 5,GC
1-Aug-20,20,20,VENDRAME Andrea,AG2R Citroen Team,2020,Strade Bianche,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
5-Aug-20,11,30,VENDRAME Andrea,AG2R Citroen Team,2020,Milano-Torino,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
8-Aug-20,11,70,VENDRAME Andrea,AG2R Citroen Team,2020,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
19-Aug-20,6,70,VENDRAME Andrea,AG2R Citroen Team,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
23-Aug-20,4,50,VENDRAME Andrea,AG2R Citroen Team,2020,Championnats Nationaux Route - Italie,CN,Championships,CN ME RR,Other,1,CN,ME RR
25-Aug-20,15,28,VENDRAME Andrea,AG2R Citroen Team,2020,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
14-Sep-20,40,10,VENDRAME Andrea,AG2R Citroen Team,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
22-Sep-20,4,60,VENDRAME Andrea,AG2R Citroen Team,2020,Paris-Camembert,1.1,One Day,C1 GC,Other,1,1.1,GC
6-Oct-20,4,12,VENDRAME Andrea,AG2R Citroen Team,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
24-Oct-20,5,4,VENDRAME Andrea,AG2R Citroen Team,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 SC,WorldTour,,Tier 2,SC
25-Oct-20,50,16,VENDRAME Andrea,AG2R Citroen Team,2020,Giro d'Italia,Grand Tour,Grand Tour,Tier 2 GC,WorldTour,21,Tier 2,GC
2-Feb-20,6,40,VENTURINI Clement,AG2R Citroen Team,2020,Grand Prix Cycliste la Marseillaise,1.1,One Day,C1 GC,Other,1,1.1,GC
16-Feb-20,7,60,VENTURINI Clement,AG2R Citroen Team,2020,Clasica de Almeria,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
29-Feb-20,41,5,VENTURINI Clement,AG2R Citroen Team,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
1-Mar-20,20,5,VENTURINI Clement,AG2R Citroen Team,2020,Kuurne-Bruxelles-Kuurne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
3-Mar-20,4,60,VENTURINI Clement,AG2R Citroen Team,2020,Le Samyn,1.1,One Day,C1 GC,Other,1,1.1,GC
19-Aug-20,5,85,VENTURINI Clement,AG2R Citroen Team,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
23-Aug-20,4,50,VENTURINI Clement,AG2R Citroen Team,2020,Championnats Nationaux Route - France (ME-WE),CN,Championships,CN ME RR,Other,1,CN,ME RR
9-Sep-20,5,5,VENTURINI Clement,AG2R Citroen Team,2020,Tour de France,Grand Tour,Grand Tour,Tier 1 SC,WorldTour,,Tier 1,SC
11-Oct-20,22,5,VENTURINI Clement,AG2R Citroen Team,2020,Paris - Tours Elite,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
7-Feb-20,1,14,DE BONDT Dries,Alpecin-Deceuninck,2020,Etoile de Bessèges,2.1,Stage Race,C1 SC,Other,,2.1,SC
29-Feb-20,40,5,DE BONDT Dries,Alpecin-Deceuninck,2020,Omloop Het Nieuwsblad Elite,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
25-Aug-20,46,8,DE BONDT Dries,Alpecin-Deceuninck,2020,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
29-Aug-20,2,85,DE BONDT Dries,Alpecin-Deceuninck,2020,Druivenkoers - Overijse,1.1,One Day,C1 GC,Other,1,1.1,GC
20-Sep-20,12,10,DE BONDT Dries,Alpecin-Deceuninck,2020,Grand Prix d'Isbergues - Pas de Calais,1.1,One Day,C1 GC,Other,1,1.1,GC
22-Sep-20,1,100,DE BONDT Dries,Alpecin-Deceuninck,2020,Championnats Nationaux Route - Belgique (IRR),CN,Championships,CN ME RR,Other,1,CN,ME RR
11-Oct-20,33,3,DE BONDT Dries,Alpecin-Deceuninck,2020,Paris - Tours Elite,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
23-Feb-20,19,3,KRIEGER Alexander,Alpecin-Deceuninck,2020,Tour of Antalya,2.1,Stage Race,C1 GC,Other,4,2.1,GC
9-Aug-20,23,3,KRIEGER Alexander,Alpecin-Deceuninck,2020,Czech Tour,2.1,Stage Race,C1 GC,Other,4,2.1,GC
19-Aug-20,34,3,KRIEGER Alexander,Alpecin-Deceuninck,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
23-Aug-20,3,60,KRIEGER Alexander,Alpecin-Deceuninck,2020,National Road Championships - Germany (ME-WE-IRR),CN,Championships,CN ME RR,Other,1,CN,ME RR
27-Aug-20,3,3,KRIEGER Alexander,Alpecin-Deceuninck,2020,Tour Poitou-Charentes en Nouvelle Aquitaine,2.1,Stage Race,C1 SC,Other,,2.1,SC
28-Aug-20,3,3,KRIEGER Alexander,Alpecin-Deceuninck,2020,Tour Poitou-Charentes en Nouvelle Aquitaine,2.1,Stage Race,C1 SC,Other,,2.1,SC
30-Aug-20,17,3,KRIEGER Alexander,Alpecin-Deceuninck,2020,Tour Poitou-Charentes en Nouvelle Aquitaine,2.1,Stage Race,C1 GC,Other,5,2.1,GC
30-Aug-20,3,3,KRIEGER Alexander,Alpecin-Deceuninck,2020,Tour Poitou-Charentes en Nouvelle Aquitaine,2.1,Stage Race,C1 SC,Other,,2.1,SC
6-Sep-20,5,50,KRIEGER Alexander,Alpecin-Deceuninck,2020,Tour du Doubs,1.1,One Day,C1 GC,Other,1,1.1,GC
13-Sep-20,4,60,KRIEGER Alexander,Alpecin-Deceuninck,2020,Antwerp Port Epic / Sels Trophy,1.1,One Day,C1 GC,Other,1,1.1,GC
16-Sep-20,3,5,KRIEGER Alexander,Alpecin-Deceuninck,2020,Skoda-Tour de Luxembourg,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
19-Sep-20,7,60,KRIEGER Alexander,Alpecin-Deceuninck,2020,Skoda-Tour de Luxembourg,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
27-Sep-20,2,85,KRIEGER Alexander,Alpecin-Deceuninck,2020,Paris-Chauny (classique),1.1,One Day,C1 GC,Other,1,1.1,GC
11-Oct-20,12,25,KRIEGER Alexander,Alpecin-Deceuninck,2020,Paris - Tours Elite,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
21-Oct-20,15,20,KRIEGER Alexander,Alpecin-Deceuninck,2020,AG Driedaagse Brugge-De Panne,2.UWT,Stage Race,Tier 5 GC,WorldTour,1,Tier 5,GC
23-Aug-20,1,100,MEISEN Marcel,Alpecin-Deceuninck,2020,National Road Championships - Germany (ME-WE-IRR),CN,Championships,CN ME RR,Other,1,CN,ME RR
23-Feb-20,1,14,MERLIER Tim,Alpecin-Deceuninck,2020,Tour of Antalya,2.1,Stage Race,C1 SC,Other,,2.1,SC
1-Mar-20,25,5,MERLIER Tim,Alpecin-Deceuninck,2020,Kuurne-Bruxelles-Kuurne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
3-Mar-20,13,5,MERLIER Tim,Alpecin-Deceuninck,2020,Le Samyn,1.1,One Day,C1 GC,Other,1,1.1,GC
7-Aug-20,2,5,MERLIER Tim,Alpecin-Deceuninck,2020,Czech Tour,2.1,Stage Race,C1 SC,Other,,2.1,SC
15-Aug-20,5,85,MERLIER Tim,Alpecin-Deceuninck,2020,Dwars door het Hageland,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
16-Aug-20,3,5,MERLIER Tim,Alpecin-Deceuninck,2020,VOO-Tour de Wallonie,2.Pro,Stage Race,P SC,ProSeries,,2.Pro,SC
30-Aug-20,1,200,MERLIER Tim,Alpecin-Deceuninck,2020,Brussels Cycling Classic,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
12-Sep-20,1,60,MERLIER Tim,Alpecin-Deceuninck,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
20-Sep-20,11,15,MERLIER Tim,Alpecin-Deceuninck,2020,Gooikse Pijl,1.1,One Day,C1 GC,Other,1,1.1,GC
3-Oct-20,27,16,MERLIER Tim,Alpecin-Deceuninck,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
11-Oct-20,27,20,MERLIER Tim,Alpecin-Deceuninck,2020,Gent-Wevelgem in Flanders Fields,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
14-Oct-20,4,100,MERLIER Tim,Alpecin-Deceuninck,2020,Scheldeprijs,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
21-Oct-20,3,215,MERLIER Tim,Alpecin-Deceuninck,2020,AG Driedaagse Brugge-De Panne,2.UWT,Stage Race,Tier 5 GC,WorldTour,1,Tier 5,GC
15-Aug-20,1,200,RICKAERT Jonas,Alpecin-Deceuninck,2020,Dwars door het Hageland,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
3-Oct-20,20,24,RICKAERT Jonas,Alpecin-Deceuninck,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
11-Oct-20,49,10,RICKAERT Jonas,Alpecin-Deceuninck,2020,Gent-Wevelgem in Flanders Fields,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
18-Oct-20,53,5,RICKAERT Jonas,Alpecin-Deceuninck,2020,Ronde van Vlaanderen - Tour des Flandres,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
21-Oct-20,10,50,RICKAERT Jonas,Alpecin-Deceuninck,2020,AG Driedaagse Brugge-De Panne,2.UWT,Stage Race,Tier 5 GC,WorldTour,1,Tier 5,GC
23-Feb-20,35,3,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Volta ao Algarve Cofidis,2.Pro,Stage Race,P GC,ProSeries,4,2.Pro,GC
5-Aug-20,20,5,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Milano-Torino,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
8-Aug-20,27,20,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
15-Aug-20,34,10,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
18-Aug-20,11,30,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Giro dell'Emilia,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
23-Aug-20,5,40,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Championnats Nationaux Route - Italie,CN,Championships,CN ME RR,Other,1,CN,ME RR
25-Aug-20,20,24,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Bretagne Classic - Ouest-France,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
30-Sep-20,29,16,SBARAGLI Kristian,Alpecin-Deceuninck,2020,La Flèche Wallonne,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
4-Oct-20,34,10,SBARAGLI Kristian,Alpecin-Deceuninck,2020,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
7-Oct-20,20,5,SBARAGLI Kristian,Alpecin-Deceuninck,2020,De Brabantse Pijl - La Flèche Brabançonne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
9-Aug-20,9,25,VAKOČ Petr,Alpecin-Deceuninck,2020,Czech Tour,2.1,Stage Race,C1 GC,Other,4,2.1,GC
15-Aug-20,52,5,VAKOČ Petr,Alpecin-Deceuninck,2020,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
22-Aug-20,3,60,VAKOČ Petr,Alpecin-Deceuninck,2020,National Road Championships - Czech Republic,CN,Championships,CN ME RR,Other,1,CN,ME RR
19-Sep-20,9,40,VAKOČ Petr,Alpecin-Deceuninck,2020,Skoda-Tour de Luxembourg,2.Pro,Stage Race,P GC,ProSeries,5,2.Pro,GC
30-Sep-20,41,8,VAKOČ Petr,Alpecin-Deceuninck,2020,La Flèche Wallonne,1.UWT,One Day,Tier 4 GC,WorldTour,1,Tier 4,GC
4-Oct-20,39,10,VAKOČ Petr,Alpecin-Deceuninck,2020,Liège-Bastogne-Liège,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
7-Oct-20,39,3,VAKOČ Petr,Alpecin-Deceuninck,2020,De Brabantse Pijl - La Flèche Brabançonne,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
11-Oct-20,6,70,VAKOČ Petr,Alpecin-Deceuninck,2020,Paris - Tours Elite,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
1-Aug-20,15,20,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Strade Bianche,1.UWT,One Day,Tier 5 GC,WorldTour,1,Tier 5,GC
5-Aug-20,13,20,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Milano-Torino,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
8-Aug-20,13,50,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Milano-Sanremo,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
12-Aug-20,3,125,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Gran Piemonte,1.Pro,One Day,P GC,ProSeries,1,1.Pro,GC
15-Aug-20,10,85,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Il Lombardia,1.UWT,One Day,Tier 3 GC,WorldTour,1,Tier 3,GC
23-Aug-20,1,100,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,National Road Championships - Netherlands,CN,Championships,CN ME RR,Other,1,CN,ME RR
26-Aug-20,4,125,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,UEC Road European Championships,CC,Championships,CC ME RR,Other,1,CC,ME RR
29-Aug-20,3,70,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Druivenkoers - Overijse,1.1,One Day,C1 GC,Other,1,1.1,GC
13-Sep-20,1,60,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 SC,WorldTour,,Tier 3,SC
14-Sep-20,45,10,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,Tirreno-Adriatico,2.UWT,Stage Race,Tier 3 GC,WorldTour,7,Tier 3,GC
3-Oct-20,1,400,VAN DER POEL Mathieu,Alpecin-Deceuninck,2020,BinckBank Tour,2.UWT,Stage Race,Tier 4 GC,WorldTour,5,Tier 4,GC
